ID,Label
Z3A6QU9xcFRPRjlFM1lQUi1mWDFGYTFyZDRIMXJNeTlhaXJTVVo3Z3dUdHVRbE0zdVo5X3otTEFaN2FQN29Kd2xaOUgtTGY0SWlaYjhEWW1hN050TzczX1E , 0 
Id=Z3A6QU9xcFRPSFo0TGxRZlRHczk5UHFqeC15M3g5M0tac2RVRDE0SkNUNnJ3cTQxYTZhQVJRc19YTVZxQkJmb2p3eU9CTEhCVU13bkxhZ19CUjlEaklT , 0 
Z3A6QU9xcFRPR1VQZXNTRWtpVXBsMlpUX0xPSWFjbmFvcmtSdDNjcGQ5MDhLS1gxRlFoaUxKTFdaSUlWN2YtREw1OWF2RGpjYW5rU3pMNDh5amF0Wk5FSUE , 1 
Z3A6QU9xcFRPRlRrdGd2dmlXR0xaeGZjeGlmNnBSQWJmZmlpclRhY2NRZmd2a1JJQUYyVVdwbVhwdU8zMEdPdFJCcnlMSkhDeDNxMm9DLW9rODd1N1FhX0E , 1 
Z3A6QU9xcFRPSHZMZHdnbDRYZlBDNjFYN2Zqb3lOcVBiaGRDa1Qxb0EyOUVUSTg3WFVWMVhHbnpveUxUOWVTTWlVc2xubmR6Nkc2aV8zRENBbXRWY1JQMkE , 0 
3A6QU9xcFRPSHhIaWVGWS1DSzFWZUx2cDdtTTAtUVM3d0lNejNiMEhhWVJjNjhyTlExSllnbEFPc3FnVXRWb0JZU2hkN3NMbjduUHh4SHczRXVka294Vnhv , 1 
3A6QU9xcFRPRmJOZ3UwNU83ZkpMZmtaUzA0MFBPQldjNGQ3RXhzdXlmQmUtU084ZmJoMTNkWVFBYkxSZjVvdGhqRTVRZUhlRmdLUnl5RlJhQXpFMC10Qkgw , 0 
Z3A6QU9xcFRPRXE5d2paejRlUjRPRURVcXBKUDQ1MVBQV2ZxY2I2S291UUZadmp1OE55aExNZWh4UzV3TG1ZelpBZ1AzZHZzUXVSU2JCLXgta2pnNlZoVVE , 1 
Z3A6QU9xcFRPRjdPSEVPUWUwTlJ1SWJ4S0lQNjJjUWNxbmR1VmdUaGVyVlBGSHhzQUlUdGRpRHpwMDZjVnJvUTR6UW5pVXpacExQcDMzd0d3c3gwdE9RVEE , 0 
Z3A6QU9xcFRPRnlvMy00TzBCaVJlOVpBWDR0NE1TaXdUYkVoZzhuUTlKNDV5bjdWRXdRTzJsQUdvTktaeFJmRjByWTFNSlM2cnlQYS1zc05MamJwVWFmYUE , 1 
Z3A6QU9xcFRPSGNwd2RLbDVJZU55ampTcHpOV056WUFjV3BqMFhQQ0QyNkh4UU5GZXFEZTF4ZF9iSjNMOEE5WnVYQ3FMaDBhNW56M1FTYWpWRjJCUkRTYUE , 0 
Z3A6QU9xcFRPRjZ6VHlUQzg3cjVXSm44em9jUW5FWjlVRmsxekEyYkVlYnIyb3Y0bVNGbV9ieFpoR255QUk3b0VIbmdiNGh6NkJBTzJ4dDdYNHNiUTVwTGc , 1 
Id=Z3A6QU9xcFRPRU8xVU8yMGZsbXJIS084OEg3UVJwaWtXNDY0cDBVU2xWVlQ4c2VwQ0w5RkVyZkQ1aXV5QkpTUTI1WmpKX0FSbTNtNUpSSDMwTWd3NHRR , 0 
3A6QU9xcFRPRTA3OGtsUGJwc25ubVJYWnFrVVV2UkhNX3dJMy1lNTlZTmNrdHVBVmNXYkVlWWh2ZnZBbkNZS3lGZEZKam9HczRzYmd1enl6YnBuMVUtZjZr , 1 
3A6QU9xcFRPRTNfaHhWUUhPaWlxUVUxQTVmdXVSelBJLUQydTJrdkFOeEREMk0tVjI0OTNqVGZoYmd1MTUyaExEMW82OGJfZ09TQjhjbDZWNG56VUhEdjh3 , 1 
3A6QU9xcFRPRlNlSHNTTFRhYnI2dmlpRGR6Z194RmVfVlRzUjN2QnpkQU1ZaG16Rm1pWVF3TFNOc1lhQ1dxQ1dTYXNEdjlVeTR3ZGpoRGVJakFjdGNDN2NR , 0 
3A6QU9xcFRPSGlGS0ZGX2oxbEtFTkdqN21lSld3bE91ZFVsSk52ZDU2d0VMSFlPRXhwQ3NWcmtHQ3pzTjZlVnNXZV9aSndOYVA0TjVPamtwRDNJUEpsdGNF , 1 
Z3A6QU9xcFRPRzlLMTBOdVQ4R1lKbl9uRGJhVjBfS05mSDBudDdvR1JVaklnNDRHeVQ5VEtqZXpPV0kwZzAwemE2YWt4UTgxenZZOVNjZ2tyZGF1U0dZbUE , 1 
3A6QU9xcFRPR2RKY2Ftc29hX2xIbWZhQXhpSFFnak82RHVmd2tERnMzem9zRDNOVkY3RmpsUUlNbTBfRkVsUC1qbE41MmJMVVBtUWZGNXppa0FybzlKRE1B , 0 
3A6QU9xcFRPRjgxRnBxNWJQOHZVU2pWRjUzeDNZSzBfMUJKY0VjdUY3RFRKNkxMcGxvU3dGWWJ2SUlSajBIV1JEa3NPVTZlWFRuSzl1WVViWFJvczkzZ1NB , 1 
3A6QU9xcFRPRzhoUnJYT20zRTIxZlUzUE5wSUt5akxLWngyd0RPWHBtYWREMXNQcWx3aTdYelhySDl5a3RnYTRZa2xhMjBVUFZYNFNHenlkdVlXeXFqa0o0 , 1 
Z3A6QU9xcFRPRzc3Y0RETkg0all3U2R5UnphUklucGljeFZJTm5qSmxYdHdGWmgzaS1jQy1qTTItVVRzekFkRklOLVRkX0pZazZ4VW5PcGVXdGdMV0tWNEE , 0 
Id=Z3A6QU9xcFRPR0tHVVFnbnF2b1hmOHBSMTNrYVNubGJEbVdLT19TV2N2dXpEVkNKQ0dNTF9hVEhSUThfTW5TVXVEMExPY1BaV2cwV09zellJelcyeE5O , 0 
Z3A6QU9xcFRPR0RJcGpUWTQ0SlBhVFZiYjU2Q3QxTXFLYlJDYU1fejZ5c3JyQzZJeWRoMnRxV1ZGX1lNQVMzeEVLSF9mMUdubGhiUmlwaTc3RjNpMm1UdVE , 0 
Z3A6QU9xcFRPSFVtSTJWWTl1SXFBTFdwWXN1NDJuSElNdUZfRDFGX3ZTaXJYeXdqb1pXZ3gtYkE5c25MTU5hcTFCLTJvd0pfVEdQdmxoaVcwYURlUG56R3c , 1 
Z3A6QU9xcFRPSGNrUG5XczVDcU50STY3Q2IxMjZiemoxNk1EeXV5eFZMcUFqVjJhX2E1LWF3SEFpVS0xRnBnSlhqYldULXdHRGNvWTJxTl9abkJvVkJJRGc , 0 
3A6QU9xcFRPR20wV3o0dXQ1N0ExSHlIQTg4eW5vdzIwTXpkWVIxeFp6eFZPWXBrZmhOZTFkQVRWbGhKcDhwUmRjbEtveHR4YllHWnJRZWFub294YmVDZTMw , 0 
3A6QU9xcFRPRWlNeHU3RG1mUzRic3BTS0xfOXZOMzI1Ymk2aE5XdEJrVzB3aDJmdnR0Tmx4enBlRHFPeG9ZYVFfYTQ2eGxZQ082OWlqZmRJa2Z6SUh5WS1F , 0 
Id=Z3A6QU9xcFRPR1pCWTJNdzdieVBPUHdCOFgzXzIyeEVFTDBZWTMzZ0ViNC1Wa2xrOEpYWnR5UkNaS3VGMnVDYXp0cGk3WUZCN2czOXRva3dLLTY3eUlw , 0 
3A6QU9xcFRPR3AtdDF4TWZORDQ5Z25KeUx1a1g5eXNIZUhDR3lTTkVjQ3RoTmJ3RklJaktmazJYdHk3WGM4RXdYTk16YURiZDU4YnpNaDVBcTVYYkJOXzBZ , 1 
Id=Z3A6QU9xcFRPRXlFbnJJN0p1WXJ6R0JYWHdIU2p4bm5yeGN2dzAwMGQ5SWNydUgxZTE4Um9obWEySHpNcExtenVkOUlsRXJkU3JfRUxBUHZSRnlXNlV3 , 1 
3A6QU9xcFRPSG1VazczVDRNVEM5dmRkRmRJbURQbkJIZHlkbkduYnNmeTVTSU8wRVFCbjZ4VlljYzlOY1lWNjgzWXlqemxxbGFBUHBMMGdHM2dPUktlYUM0 , 0 
3A6QU9xcFRPRWhlV2Q4Q0JOQjFpNWREQm1xdG1jMll4ZXZGUExKS2tURXZ1WUNyQlU2aW1NVEt6N0NvbU9XQ3RnTWZ1VDQyakdnN3B4b2RYbHBzNjhKU0RR , 1 
3A6QU9xcFRPSElpbUdNMWZCRTc1MUJxazl1T0VpMmxMMkczcEU3QTVRVm01SG5OZjhMVHVYR1N1ak5ieVNMRHRic29aT0xLZENGR1RKX0hsNzJpcUJTcXlR , 0 
Id=Z3A6QU9xcFRPRTRsX1dnSHFGV19FN21BaGZuTmZuQTNCLUdldXdPOG9EUjM5VFBMbmRvWVN3TF9leTNNamNqU0RlNmV1Ykd3M1NCWnhFVG9lLWFPSERx , 0 
3A6QU9xcFRPSDFwOEJPeWc2MldkUW91LUhxNHpVUGZ5cW9UWmVVSy1RU2lYS0Q4LXdqaGk1cVB5THpCZVZmanZtVjBkd1hVUnpqdTFTR211YzJNNFY4emtj , 0 
